"","recipe","Source","Page","Type","Cuisine","diet","Ingredients","makeability","Needed"
"134","kimchi pancake","Anylist",NA,"appetizer","asian","Vegan","<span style='color: #CD2626;'>ponzu sauce</span> or <span style='color: #458B00;'>sesame seeds</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>potato flour</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>garlic powder</span>, <span style='color: #458B00;'>baking powder</span>, <span style='color: #458B00;'>kimchi</span>, <span style='color: #458B00;'>gochujang</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>fish sauce</span>, <span style='color: #458B00;'>canola oil</span>",1,0
"135","roasted butternut squash with lentils and feta","Anylist",NA,"meal","mediterranean","Vegetarian","<span style='color: #458B00;'>lentils</span>, <span style='color: #458B00;'>cinnamon stick</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>butternut squash</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>feta</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>pepitas</span>, <span style='color: #458B00;'>pomegranate molasses</span>, <span style='color: #458B00;'>honey</span>, <span style='color: #458B00;'>cumin</span>, <span style='color: #458B00;'>cayenne pepper</span>, <span style='color: #458B00;'>black pepper</span>",1,0
"136","greek american lamb gyros","Anylist",NA,"main","mediterranean","Non-vegetarian","<span style='color: #458B00;'>harissa</span> or <span style='color: #458B00;'>oregano</span> or <span style='color: #458B00;'>dried oregano</span>, <span style='color: #CD2626;'>ground lamb</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>bacon</span>, <span style='color: #458B00;'>yogurt</span>, <span style='color: #458B00;'>mayonnaise</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #1C86EE;'>pita bread</span>, <span style='color: #458B00;'>cucumber</span>",5,3
"137","chicken koftas with lime couscous","Anylist",NA,"meal","mediterranean","Non-vegetarian","<span style='color: orange;'>ground chicken</span> or <span style='color: #458B00;'>ground turkey</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: orange;'>lime</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>red pepper flakes</span>, <span style='color: #458B00;'>couscous</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>dried cranberries</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>",5,3
"138","mojo meatballs","Anylist",NA,"appetizer","latin","Non-vegetarian","<span style='color: #CD2626;'>jalapeno</span> or <span style='color: orange;'>ground beef</span> or <span style='color: #458B00;'>ground pork</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>panko</span>, <span style='color: #458B00;'>cumin</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: orange;'>red onion</span>, <span style='color: #458B00;'>orange</span>, <span style='color: orange;'>lime</span>",3,3
"139","salt and pepper cauliflower","Anylist",NA,"side","asian","Vegan","<span style='color: #CD2626;'>jalapeno</span> or <span style='color: #458B00;'>cilantro</span> or <span style='color: #458B00;'>vegetable oil</span>, <span style='color: #CD2626;'>cauliflower</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>tofu</span>, <span style='color: #458B00;'>miso</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>lemon</span>",5,2
"140","blueberry lemon scones","Anylist",NA,"breakfast","western","Vegan","<span style='color: #CD2626;'>blueberries</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>baking powder</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>coconut oil</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>coconut milk</span>",5,1
"141","chicken zucchini meatballs with feta","Anylist",NA,"main","mediterranean","Non-vegetarian","<span style='color: orange;'>ground chicken</span> or <span style='color: #458B00;'>ground turkey</span>, <span style='color: orange;'>mint</span> or <span style='color: orange;'>basil</span> or <span style='color: #CD2626;'>parsley</span> or <span style='color: #458B00;'>dill</span>, <span style='color: #458B00;'>zucchini</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>panko</span>, <span style='color: #458B00;'>cumin</span>, <span style='color: #458B00;'>red pepper flakes</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>feta</span>",1,0
"142","balsamic strawberry baked goat cheese dip","Anylist",NA,"appetizer","western","Vegetarian","<span style='color: #CD2626;'>strawberries</span>, <span style='color: #CD2626;'>baguette</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #CD2626;'>goat cheese</span>, <span style='color: #458B00;'>cream cheese</span>, <span style='color: #458B00;'>honey</span>, <span style='color: #458B00;'>balsamic vinegar</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: orange;'>basil</span>",5,4
"143","zucchini salad with parmesan, basil and almonds","Anylist",NA,"salad","western","Vegetarian","<span style='color: #458B00;'>zucchini</span> or <span style='color: #CD2626;'>summer squash</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>capers</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: orange;'>basil</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>almonds</span>",5,2
"144","chilled corn soup with basil","Anylist",NA,"soup","western","Vegetarian","<span style='color: #CD2626;'>radish</span> or <span style='color: #458B00;'>corn</span>, <span style='color: #458B00;'>buttermilk</span>, <span style='color: orange;'>basil</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: orange;'>lime</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>olive oil</span>",3,2
"145","lemon garlic kale salad","Anylist",NA,"salad","western","Vegetarian","<span style='color: #458B00;'>almonds</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>kale</span>, <span style='color: #458B00;'>parmesan</span>",1,0
"146","chicken adobo","Anylist",NA,"main","asian","Non-vegetarian","<span style='color: #CD2626;'>thai chili</span> or <span style='color: #458B00;'>red pepper flakes</span>, <span style='color: #458B00;'>coconut milk</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>rice vinegar</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>chicken thigh</span>",1,0
"147","north african meatballs","Anylist",NA,"appetizer","mediterranean","Non-vegetarian","<span style='color: #458B00;'>couscous</span> or <span style='color: #458B00;'>butter</span> or <span style='color: #458B00;'>golden raisins</span> or <span style='color: orange;'>crusty bread</span> or <span style='color: #458B00;'>sandwich bread</span>, <span style='color: orange;'>ground beef</span> or <span style='color: #CD2626;'>ground lamb</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>tomato paste</span>, <span style='color: #458B00;'>cinnamon</span>, <span style='color: #458B00;'>saffron</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>milk</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>nutmeg</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>turmeric</span>, <span style='color: #458B00;'>paprika</span>, <span style='color: #458B00;'>cayenne pepper</span>, <span style='color: #458B00;'>ground cloves</span>, <span style='color: #458B00;'>coriander</span>, <span style='color: #458B00;'>cumin</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>flour</span>",5,3
"148","crispy braised chicken with cabbage and bacon","Anylist",NA,"meal","western","Non-vegetarian","<span style='color: #CD2626;'>bone in chicken thigh</span> or <span style='color: #458B00;'>chicken breast</span>, <span style='color: #458B00;'>bacon</span>, <span style='color: #CD2626;'>cabbage</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>dijon mustard</span>, <span style='color: #458B00;'>apple cider vinegar</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>bay leaf</span>, <span style='color: orange;'>thyme</span>, <span style='color: #458B00;'>butter</span>",5,3
"149","oven roasted chicken shawarma","Anylist",NA,"main","middle eastern","Non-vegetarian","<span style='color: #458B00;'>red pepper flakes</span> or <span style='color: #458B00;'>chicken thigh</span> or <span style='color: #458B00;'>chicken breast</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>black pepper</span>, <span style='color: #458B00;'>cumin</span>, <span style='color: #458B00;'>paprika</span>, <span style='color: #458B00;'>turmeric</span>, <span style='color: #458B00;'>cinnamon</span>, <span style='color: orange;'>red onion</span>, <span style='color: #CD2626;'>parsley</span>",5,2
"150","grilled marinated tofu","Anylist",NA,"main","asian","Vegan","<span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>mirin</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>tofu</span>, <span style='color: #458B00;'>canola oil</span>",1,0
"151","puff pastry","Noggin",NA,"ingredient","ingredient","Vegetarian","<span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>butter</span>",1,0
"152","summer squash and parmesan tart","Salt, Fat, Acid, Heat",399,"main","western","Vegetarian","<span style='color: #CD2626;'>summer squash</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #458B00;'>pine nuts</span>, <span style='color: #458B00;'>puff pastry</span>",5,1
"153","rhubarb and frangipane tart","Salt, Fat, Acid, Heat",399,"dessert","western","Vegetarian","<span style='color: #CD2626;'>rhubarb</span>, <span style='color: #CD2626;'>frangipane</span>, <span style='color: #458B00;'>puff pastry</span>",5,2
"154","plum and frangipane tart","Salt, Fat, Acid, Heat",399,"dessert","western","Vegetarian","<span style='color: #458B00;'>puff pastry</span>, <span style='color: #CD2626;'>frangipane</span>, <span style='color: #CD2626;'>plums</span>",5,2
"155","caramelized onion tart","Salt, Fat, Acid, Heat",399,"main","western","Vegetarian","<span style='color: orange;'>pie dough</span> or <span style='color: #458B00;'>puff pastry</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #458B00;'>onion</span>",1,0
"156","apple and frangipane tart","Salt, Fat, Acid, Heat",397,"dessert","western","Vegetarian","<span style='color: orange;'>pie dough</span> or <span style='color: #458B00;'>puff pastry</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>apple</span>, <span style='color: #458B00;'>heavy cream</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #CD2626;'>frangipane</span>",5,2
"157","frangipane","Salt, Fat, Acid, Heat",397,"ingredient","western","Vegetarian","<span style='color: #458B00;'>almonds</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #CD2626;'>almond paste</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>vanilla extract</span>, <span style='color: #458B00;'>almond extract</span>",5,1
"158","aaron's tart dough","Salt, Fat, Acid, Heat",395,"ingredient","western","Vegetarian","<span style='color: #458B00;'>creme fraiche</span> or <span style='color: #458B00;'>heavy cream</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>baking powder</span>, <span style='color: #458B00;'>butter</span>",1,0
"159","light and flaky buttermilk biscuits","Salt, Fat, Acid, Heat",392,"breakfast","western","Vegetarian","<span style='color: #458B00;'>buttermilk</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>baking powder</span>, <span style='color: #458B00;'>heavy cream</span>",1,0
"160","pie dough","Salt, Fat, Acid, Heat",386,"ingredient","western","Vegetarian","<span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>white vinegar</span>",1,0
"161","persian beet yogurt","Salt, Fat, Acid, Heat",373,"sauce","middle eastern","Vegetarian","<span style='color: #CD2626;'>tarragon</span> or <span style='color: #458B00;'>nigella seeds</span> or <span style='color: #CD2626;'>beets</span>, <span style='color: #458B00;'>yogurt</span>, <span style='color: orange;'>mint</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>red wine vinegar</span>",5,3
"162","persian spinach yogurt","Salt, Fat, Acid, Heat",372,"sauce","middle eastern","Vegetarian","<span style='color: #458B00;'>olive oil</span>, <span style='color: orange;'>spinach</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>yogurt</span>, <span style='color: #458B00;'>lemon</span>",3,1
"163","persian herb and cucumber yogurt","Salt, Fat, Acid, Heat",371,"sauce","middle eastern","Vegetarian","<span style='color: orange;'>mint</span> or <span style='color: #458B00;'>dill</span> or <span style='color: #CD2626;'>parsley</span> or <span style='color: #458B00;'>cilantro</span> or <span style='color: #458B00;'>raisins</span> or <span style='color: #458B00;'>golden raisins</span>, <span style='color: #458B00;'>yogurt</span>, <span style='color: #458B00;'>cucumber</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>walnuts</span>, <span style='color: #458B00;'>olive oil</span>",1,0
"164","indian carrot raita","Salt, Fat, Acid, Heat",370,"sauce","indian","Vegetarian","<span style='color: #458B00;'>ghee</span> or <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>yogurt</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: orange;'>mint</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #458B00;'>carrot</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>cumin seed</span>, <span style='color: #458B00;'>black mustard seed</span>, <span style='color: #458B00;'>coriander</span>",5,2
"165","herbed yogurt","Salt, Fat, Acid, Heat",370,"sauce","middle eastern","Vegetarian","<span style='color: #458B00;'>yogurt</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: orange;'>mint</span>, <span style='color: #458B00;'>olive oil</span>",5,2
"166","argentinian chimichurri","Salt, Fat, Acid, Heat",369,"sauce","latin","Vegan","<span style='color: #458B00;'>oregano</span> or <span style='color: #458B00;'>dried oregano</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>red pepper flakes</span>, <span style='color: #458B00;'>red wine vinegar</span>",5,1
"167","sicilian oregano sauce","Salt, Fat, Acid, Heat",369,"sauce","mediterranean","Vegan","<span style='color: #458B00;'>oregano</span> or <span style='color: #458B00;'>dried oregano</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>lemon</span>",5,1
"168","indian coconut cilantro chutney","Salt, Fat, Acid, Heat",368,"sauce","indian","Vegan","<span style='color: #CD2626;'>coconut</span> or <span style='color: #CD2626;'>frozen grated coconut</span> or <span style='color: #458B00;'>unsweetened coconut chips</span>, <span style='color: #458B00;'>cumin seed</span>, <span style='color: orange;'>lime</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: orange;'>mint</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>jalapeno</span>, <span style='color: #458B00;'>sugar</span>",5,4
"169","north african charmoula","Salt, Fat, Acid, Heat",367,"sauce","mediterranean","Vegan","<span style='color: #458B00;'>mayonnaise</span> or <span style='color: #458B00;'>cumin seed</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #CD2626;'>jalapeno</span>, <span style='color: orange;'>lime</span>",5,2
"170","meyer lemon salsa","Salt, Fat, Acid, Heat",366,"sauce","western","Vegan","<span style='color: orange;'>meyer lemon</span> or <span style='color: #458B00;'>preserved lemon</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>white wine vinegar</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>olive oil</span>",5,2
"171","japanese-ish herb salsa","Salt, Fat, Acid, Heat",365,"sauce","asian","Vegan","<span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>rice wine vinegar</span>",5,1
"172","southeast asian-ish herb salsa","Salt, Fat, Acid, Heat",364,"sauce","asian","Vegan","<span style='color: #458B00;'>shallot</span>, <span style='color: orange;'>lime</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #CD2626;'>jalapeno</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>canola oil</span>",5,2
"173","mexican-ish herb salsa","Salt, Fat, Acid, Heat",363,"sauce","latin","Vegan","<span style='color: #CD2626;'>pomegranate</span> or <span style='color: #458B00;'>pepitas</span> or <span style='color: #458B00;'>cucumber</span> or <span style='color: #CD2626;'>jicama</span> or <span style='color: #458B00;'>mango</span> or <span style='color: #CD2626;'>avocado</span> or <span style='color: #458B00;'>shallot</span>, <span style='color: orange;'>lime</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #CD2626;'>jalapeno</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>canola oil</span>",5,3
"174","classic french herb salsa","Salt, Fat, Acid, Heat",362,"sauce","western","Vegan","<span style='color: #458B00;'>lemon</span> or <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>white wine vinegar</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #CD2626;'>chervil</span>, <span style='color: orange;'>chives</span>, <span style='color: orange;'>basil</span>, <span style='color: #CD2626;'>tarragon</span>, <span style='color: #458B00;'>olive oil</span>",5,5
"175","basic salsa verde","Salt, Fat, Acid, Heat",360,"sauce","western","Vegan","<span style='color: #458B00;'>bread crumbs</span> or <span style='color: #458B00;'>almonds</span> or <span style='color: #458B00;'>red pepper flakes</span> or <span style='color: #458B00;'>lemon</span> or <span style='color: #458B00;'>garlic</span> or <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>red wine vinegar</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>olive oil</span>",5,1
"176","chicken with vinegar","Salt, Fat, Acid, Heat",336,"main","western","Non-vegetarian","<span style='color: #458B00;'>heavy cream</span> or <span style='color: #458B00;'>creme fraiche</span>, <span style='color: #CD2626;'>whole chicken</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>white wine</span>, <span style='color: #458B00;'>white wine vinegar</span>, <span style='color: #CD2626;'>tarragon</span>",5,2
"177","sage and honey smoked chicken","Salt, Fat, Acid, Heat",330,"main","western","Non-vegetarian","<span style='color: #CD2626;'>whole chicken</span>, <span style='color: #458B00;'>honey</span>, <span style='color: #CD2626;'>sage</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>black pepper</span>",5,2
"178","finger lickin' pan fried chicken","Salt, Fat, Acid, Heat",328,"main","western","Non-vegetarian","<span style='color: #458B00;'>bread crumbs</span> or <span style='color: #458B00;'>panko</span>, <span style='color: #458B00;'>chicken breast</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>cayenne pepper</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>butter</span>",1,0
"179","spicy (or not) fried chicken","Salt, Fat, Acid, Heat",320,"main","western","Non-vegetarian","<span style='color: #458B00;'>hot sauce</span> or <span style='color: #CD2626;'>whole chicken</span> or <span style='color: #458B00;'>chicken thigh</span> or <span style='color: #458B00;'>chicken breast</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>buttermilk</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>cayenne pepper</span>, <span style='color: #458B00;'>dark brown sugar</span>, <span style='color: #458B00;'>smoked paprika</span>, <span style='color: #458B00;'>cumin</span>, <span style='color: #458B00;'>garlic</span>",1,0
"180","tuna confit","Salt, Fat, Acid, Heat",314,"main","western","Non-vegetarian","<span style='color: #458B00;'>red pepper flakes</span> or <span style='color: #CD2626;'>canned tuna</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>bay leaf</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>black pepper</span>",5,1
"181","chicken pot pie samin","Salt, Fat, Acid, Heat",322,"meal","western","Non-vegetarian","<span style='color: #458B00;'>white wine</span> or <span style='color: #458B00;'>sherry</span>, <span style='color: #458B00;'>puff pastry</span> or <span style='color: orange;'>pie dough</span>, <span style='color: #CD2626;'>whole chicken</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>carrot</span>, <span style='color: #CD2626;'>celery</span>, <span style='color: #CD2626;'>mushrooms</span>, <span style='color: #458B00;'>bay leaf</span>, <span style='color: orange;'>thyme</span>, <span style='color: #458B00;'>heavy cream</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>peas</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>egg</span>",5,5
"182","beer battered fish","Salt, Fat, Acid, Heat",312,"main","western","Non-vegetarian","<span style='color: #CD2626;'>rice flour</span> or <span style='color: #CD2626;'>tartar sauce</span> or <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>baking powder</span>, <span style='color: #458B00;'>cayenne pepper</span>, <span style='color: #458B00;'>cod</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #CD2626;'>vodka</span>, <span style='color: #CD2626;'>lager</span>",5,3
"183","pasta al ragu","Salt, Fat, Acid, Heat",297,"main","mediterranean","Non-vegetarian","<span style='color: #CD2626;'>parmesan rind</span> or <span style='color: #458B00;'>olive oil</span>, <span style='color: orange;'>ground beef</span>, <span style='color: #458B00;'>ground pork</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>carrot</span>, <span style='color: #CD2626;'>celery</span>, <span style='color: #458B00;'>red wine</span>, <span style='color: orange;'>whole milk</span>, <span style='color: #458B00;'>bay leaf</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>orange</span>, <span style='color: #458B00;'>cinnamon</span>, <span style='color: #458B00;'>tomato paste</span>, <span style='color: #458B00;'>nutmeg</span>, <span style='color: #458B00;'>pasta</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>parmesan</span>",5,4
"184","fava bean and dill rice","Salt, Fat, Acid, Heat",287,"side","middle eastern","Vegetarian","<span style='color: #458B00;'>basmati rice</span>, <span style='color: #458B00;'>dill</span>, <span style='color: #CD2626;'>fava beans</span>, <span style='color: #458B00;'>yogurt</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>canola oil</span>",5,1
"185","persian-ish rice","Salt, Fat, Acid, Heat",284,"side","middle eastern","Vegetarian","<span style='color: #458B00;'>basmati rice</span>, <span style='color: #458B00;'>yogurt</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #CD2626;'>parsley</span> or <span style='color: #458B00;'>cilantro</span> or <span style='color: #458B00;'>dill</span> or <span style='color: #458B00;'>canola oil</span>",1,0
"186","silky sweet corn soup","Salt, Fat, Acid, Heat",276,"soup","western","Vegetarian","<span style='color: #CD2626;'>corn on the cob</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>onion</span>",5,1
"187","snap peas wit chiles and mint","Salt, Fat, Acid, Heat",260,"side","western","Vegan","<span style='color: #CD2626;'>snap peas</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: orange;'>mint</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>red pepper flakes</span>",5,2
"188","garlicky green beans","Salt, Fat, Acid, Heat",261,"side","western","Vegan","<span style='color: #CD2626;'>green beans</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>garlic</span>",5,1
"189","peanut lime dressing","Salt, Fat, Acid, Heat",253,"dressing","asian","Vegan","<span style='color: #458B00;'>cilantro</span> or <span style='color: orange;'>lime</span>, <span style='color: #458B00;'>fish sauce</span>, <span style='color: #458B00;'>rice wine vinegar</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>peanut butter</span>, <span style='color: #CD2626;'>jalapeno</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>garlic</span>",5,2
"190","Japanese sesame seed dressing","Salt, Fat, Acid, Heat",251,"dressing","asian","Vegan","<span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>mirin</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>tahini</span>",1,0
"191","tahini dressing","Salt, Fat, Acid, Heat",251,"dressing","middle eastern","Vegan","<span style='color: #458B00;'>cumin seed</span>, <span style='color: #458B00;'>tahini</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>cayenne pepper</span>",1,0
"192","green goddess dressing","Salt, Fat, Acid, Heat",250,"dressing","western","Non-vegetarian","<span style='color: #CD2626;'>chervil</span> or <span style='color: #458B00;'>anchovies</span>, <span style='color: #CD2626;'>avocado</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>red wine vinegar</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: orange;'>chives</span>, <span style='color: #CD2626;'>tarragon</span>, <span style='color: #458B00;'>mayonnaise</span>",5,5
"193","blue cheese dressing","Salt, Fat, Acid, Heat",249,"dressing","western","Vegetarian","<span style='color: #458B00;'>creme fraiche</span> or <span style='color: #458B00;'>sour cream</span> or <span style='color: #458B00;'>heavy cream</span>, <span style='color: #CD2626;'>blue cheese</span>, <span style='color: #458B00;'>red wine vinegar</span>, <span style='color: #458B00;'>garlic</span>",5,1
"194","ceramy herb dressing","Salt, Fat, Acid, Heat",248,"dressing","western","Vegetarian","<span style='color: #458B00;'>creme fraiche</span> or <span style='color: #458B00;'>sour cream</span> or <span style='color: #458B00;'>heavy cream</span> or <span style='color: #458B00;'>yogurt</span>, <span style='color: #CD2626;'>parsley</span> or <span style='color: #458B00;'>cilantro</span> or <span style='color: #458B00;'>dill</span> or <span style='color: orange;'>chives</span> or <span style='color: orange;'>basil</span> or <span style='color: #CD2626;'>tarragon</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>red wine vinegar</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>sugar</span>",1,0
